name,2024-04-17,2024-07-03,2024-08-26,2024-09-27,2024-10-21
dbrx,2.25,0.75,0.75,0.75,10.714
llama-2-70b,2.0,,,,
mixtral-8-7b,1.5,,,,
mpt-30b,1.0,,,,
llama-2-13b,0.95,,,,
mpt-7b,0.5,,,,
bge-l,0.1,,,,
llama 3 70b,,[],,,
llama 2 70b,,0.5,0.5,0.5,7.143
mixtral 8x7b,,0.5,0.5,0.5,7.143
mpt 30b,,1.0,1.0,1.0,14.286
llama 2 13b,,13.571,,,
mpt 7b,,0.5,0.5,0.5,7.143
gte,,0.13,0.13,0.13,1.857
bge large,,0.1,0.13,0.13,1.429
llama 3.1 405b,,,5.0,5.0,71.429
llama 3.1 70b,,,1.0,1.0,14.286
llama 3.1 8b,,,,,
llama 3.2 3b,,,,,
llama 3.2 1b,,,,,
