name,id_name,2024-01-27,2024-02-24,2024-03-26,2024-04-26,2024-05-24,2024-06-22,2024-07-03,2024-08-26,2024-09-27,2024-10-21
claude 3 haiku,claude-haiku-unknown-3-unknown-unknown-unknown-unknown-false,,,,1.25,1.25,1.25,1.25,1.25,1.25,1.25
claude instant,claude-instant-unknown-unknown-unknown-unknown-unknown-unknown-false,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
claude 3 opus,claude-opus-unknown-3-unknown-unknown-unknown-unknown-false,,,,,75.0,75.0,75.0,75.0,75.0,75.0
claude 3 sonnet,claude-sonnet-unknown-3-unknown-unknown-unknown-unknown-false,,,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
claude 3.5 sonnet,claude-sonnet-unknown-3.5-unknown-unknown-unknown-unknown-false,,,,,,,,15.0,15.0,15.0
claude 2.0,claude-unknown-unknown-2-unknown-unknown-unknown-unknown-false,,,,,,,,24.0,24.0,24.0
claude 2.0/2.1,claude-unknown-unknown-2.1-unknown-unknown-unknown-unknown-false,,,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
command light,command-light-unknown-unknown-unknown-unknown-unknown-unknown-false,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
command,command-unknown-unknown-unknown-unknown-unknown-unknown-unknown-false,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
command r+,commandr-plus-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,15.0,15.0,15.0,15.0,15.0,15.0
command r,commandr-unknown-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,1.5,1.5,1.5,1.5,1.5,1.5
jamba 1.5 large,jamba-large-unknown-1.5-unknown-unknown-unknown-unknown-false,,,,,,,,,,8.0
jamba 1.5 mini,jamba-mini-unknown-1.5-unknown-unknown-unknown-unknown-false,,,,,,,,,,0.4
jamba-instruct,jamba-unknown-unknown-unknown-unknown-unknown-unknown-instruct-false,,,,,,,,0.7,0.7,0.7
jurassic-2 mid,jurassic-mid-unknown-2-unknown-unknown-unknown-unknown-false,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5
jurassic 2 ultra,jurassic-ultra-unknown-2-unknown-unknown-unknown-unknown-false,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8
lama 2 chat (13b),lama-unknown-unknown-2-unknown-13-unknown-chat-false,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lama 2 chat (70b),lama-unknown-unknown-2-unknown-70-unknown-chat-false,,,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56
llama 3.2 instruct (11b),llama-instruct-unknown-3.2-unknown-11-unknown-unknown-false,,,,,,,,,,0.35
llama 3.2 instruct (90b),llama-instruct-unknown-3.2-unknown-90-unknown-unknown-false,,,,,,,,,,2.0
llama 2 chat (13b),llama-unknown-unknown-2-unknown-13-unknown-chat-false,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
llama 2 pretrained (13b),llama-unknown-unknown-2-unknown-13-unknown-unknown-true,,,,,,,,,,
llama 2 chat (70b),llama-unknown-unknown-2-unknown-70-unknown-chat-false,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56
llama 2 pretrained (70b),llama-unknown-unknown-2-unknown-70-unknown-unknown-true,,,,,,,,,,
llama 3 instruct (70b),llama-unknown-unknown-3-unknown-70-unknown-instruct-false,,,,,,,,,3.5,3.5
llama 3 instruct (8b),llama-unknown-unknown-3-unknown-8-unknown-instruct-false,,,,,,,,,0.6,0.6
llama 3,llama-unknown-unknown-3-unknown-unknown-unknown-unknown-false,,,,,,,,,,
llama 3.1 instruct (405b),llama-unknown-unknown-3.1-unknown-405-unknown-instruct-false,,,,,,,,,16.0,16.0
llama 3.1 instruct (70b),llama-unknown-unknown-3.1-unknown-70-unknown-instruct-false,,,,,,,,,0.99,0.99
llama 3.1 instruct (8b),llama-unknown-unknown-3.1-unknown-8-unknown-instruct-false,,,,,,,,,0.22,0.22
llama 3.2 instruct (1b),llama-unknown-unknown-3.2-unknown-1-unknown-instruct-false,,,,,,,,,,0.1
llama 3.2 instruct (3b),llama-unknown-unknown-3.2-unknown-3-unknown-instruct-false,,,,,,,,,,0.15
llama 2 préentrainé (13b),llama-unknown-unknown-unknown-unknown-13-unknown-unknown-false,,,,,,,,,,
llama 2 préentrainé (70b),llama-unknown-unknown-unknown-unknown-70-unknown-unknown-false,,,,,,,,,,
mistral large (24.02),mistral-large-unknown-unknown-2402-unknown-unknown-unknown-false,,,,,,,,,,12.0
mistral large,mistral-large-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,24.0,24.0,24.0,24.0,24.0,24.0,24.0
mistral small (24.02),mistral-small-unknown-unknown-2402-unknown-unknown-unknown-false,,,,,,,,,,3.0
mistral 7b,mistral-unknown-unknown-unknown-unknown-7-unknown-unknown-false,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
mixtral 8x7b,mixtral-unknown-unknown-unknown-unknown-8x7-unknown-unknown-false,,,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
stable image core,stable-image-core-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,,,,,
amazon titan text express,titan-text-express-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,,,0.6,0.6,0.6
amazon titan text lite,titan-text-lite-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,0.4,0.4,0.4,0.2,0.2,0.4
amazon titan text premier,titan-text-premier-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,,,1.5,1.5,1.5
