name,2023-03-07,2023-03-31,2023-06-27,2023-08-31,2023-09-30,2023-12-31,2024-01-20,2024-02-15,2024-04-01,2024-07-03,2024-08-26,2024-09-27,2024-10-21
jurassic-2 ultra,,,0.015,0.015,0.015,0.015,0.015,0.015,0.01,0.01,,,
jurassic-2 mid,,,0.01,0.01,0.01,0.01,0.01,0.01,0.00125,0.00125,,,
jurassic-2 light,,,0.003,0.003,0.003,0.003,0.003,0.003,0.0005,0.0005,,,
jurassic-2 chat,,,,,,0.0,0.0,0.0,0.01,0.01,,,
jumbo (base & instruct),,0.015,,,,,,,,,,,
jumbo grande (base & instruct),,0.01,,,,,,,,,,,
jumbo large (base),,0.003,,,,,,,,,,,
jumbo,0.015,,,,,,,,,,,,
jumbo grande,0.01,,,,,,,,,,,,
jumbo large,0.003,,,,,,,,,,,,
jamba 1.5 mini,,,,,,,,,,,0.4,0.4,0.4
jamba 1.5 large,,,,,,,,,,,8.0,8.0,8.0
jamba-instruct,,,,,,,,,,,0.7,,
jurassic-ultra,,,,,,,,,,,0.01,,
jurassic-mid,,,,,,,,,,,0.00125,,
jurassic-light,,,,,,,,,,,0.0005,,
