id_name,company,date_release,Steps,resolution,quality_index,speed_index,default_steps,default_resolution
aiqr-unknown-unknown-unknown-unknown-50-false-unknown-false,aiqr,2024-01-03,50.0,,,,,
amazontitan-unknown-unknown-1-1024x1024-unknown-false-unknown-false,amazon,2024-05-24,,1024.0,0.45571428571428574,11.2,,
analogdiffusion-unknown-unknown-1-unknown-unknown-false-unknown-false,,2023-07-14,,,,,,
analogdiffusion-unknown-unknown-1-1024x1024-100-false-unknown-false,wavymulder,2023-08-12,100.0,1024.0,,,,
analogdiffusion-unknown-unknown-1-512x512-100-false-unknown-false,wavymulder,2023-08-12,100.0,512.0,,,,
analogdiffusion-unknown-unknown-1-1024x1024-25-false-unknown-false,wavymulder,2023-08-12,25.0,1024.0,,,,
analogdiffusion-unknown-unknown-1-512x512-25-false-unknown-false,wavymulder,2023-08-12,25.0,512.0,,,,
analogdiffusion-unknown-unknown-1-1024x1024-50-false-unknown-false,wavymulder,2023-08-12,50.0,1024.0,,,,
analogdiffusion-unknown-unknown-1-512x512-50-false-unknown-false,wavymulder,2023-08-12,50.0,512.0,,,,
analogdiffusion-unknown-unknown-1-1024x1024-75-false-unknown-false,wavymulder,2023-08-12,75.0,1024.0,,,,
analogdiffusion-unknown-unknown-1-512x512-75-false-unknown-false,wavymulder,2023-08-12,75.0,512.0,,,,
analogdiffusion-unknown-unknown-1-1024x1024-unknown-false-unknown-false,wavymulder,2024-09-27,,1024.0,,,,
analogdiffusion-unknown-unknown-1-512x512-unknown-false-unknown-false,wavymulder,2024-09-27,,512.0,,,,
flux-dev-unknown-1-unknown-unknown-false-unknown-false,replicateai,2024-09-27,,,0.7014285714285714,5.6000000000000005,28.0,1024.0
flux-pro-unknown-1-unknown-unknown-false-unknown-false,replicateai,2024-09-27,,,0.7342857142857143,12.8,28.0,1024.0
flux-schnell-unknown-1-unknown-unknown-false-unknown-false,replicateai,2024-09-27,,,0.6357142857142857,1.1,4.0,1024.0
cogview-unknown-unknown-3-unknown-unknown-false-unknown-false,zhipuai,2023-06-26,,,,,,
cogview-plus-unknown-3-unknown-unknown-false-unknown-false,zhipuai,2024-10-21,,,,,,
controlnet-unknown-unknown-1-unknown-unknown-false-unknown-false,,2023-07-14,,,,,,
controlnet-unknown-unknown-1-1024x1024-100-false-unknown-false,stabilityai,2023-08-12,100.0,1024.0,,,,
controlnet-unknown-unknown-1-512x512-100-false-unknown-false,stabilityai,2023-08-12,100.0,512.0,,,,
controlnet-unknown-unknown-1-1024x1024-25-false-unknown-false,stabilityai,2023-08-12,25.0,1024.0,,,,
controlnet-unknown-unknown-1-512x512-25-false-unknown-false,stabilityai,2023-08-12,25.0,512.0,,,,
controlnet-unknown-unknown-1-1024x1024-50-false-unknown-false,stabilityai,2023-08-12,50.0,1024.0,,,,
controlnet-unknown-unknown-1-512x512-50-false-unknown-false,stabilityai,2023-08-12,50.0,512.0,,,,
controlnet-unknown-unknown-1-1024x1024-75-false-unknown-false,stabilityai,2023-08-12,75.0,1024.0,,,,
controlnet-unknown-unknown-1-512x512-75-false-unknown-false,stabilityai,2023-08-12,75.0,512.0,,,,
core-unknown-unknown-1-unknown-unknown-false-unknown-false,stabilityai,2024-03-24,,,,,,
dalle-unknown-unknown-2-1024x1024-unknown-false-unknown-false,openai,2022-11-17,,1024.0,0.20285714285714285,12.5,,
dalle-unknown-unknown-2-256x256-unknown-false-unknown-false,openai,2022-11-17,,256.0,0.20285714285714285,12.5,,
dalle-unknown-unknown-2-512x512-unknown-false-unknown-false,openai,2022-11-17,,512.0,0.20285714285714285,12.5,,
dalle-unknown-unknown-3-1024x1024-unknown-false-unknown-false,openai,2022-11-17,,1024.0,0.5485714285714286,17.7,,
dalle-unknown-unknown-3-1024x1024-unknown-true-unknown-false,openai,2022-11-17,,1024.0,0.5485714285714286,17.7,,
dalle-unknown-unknown-3-1792x1792-unknown-false-unknown-false,openai,2022-11-17,,1792.0,0.5485714285714286,17.7,,
dalle-unknown-unknown-3-1792x1792-unknown-true-unknown-false,openai,2022-11-17,,1792.0,0.5485714285714286,17.7,,
stablediffusion-medium-unknown-3.5-unknown-unknown-false-unknown-false,,2024-10-31,,,0.6914285714285714,4.949999999999999,35.0,1024.0
dreamshaper-lcm-unknown-8-1024x1024-50-false-unknown-false,lykon,2024-10-31,50.0,1024.0,,,,
dreamshaper-lcm-unknown-8-2048x2048-50-false-unknown-false,lykon,2024-10-31,50.0,2048.0,,,,
dreamshaper-lcm-unknown-8-512x512-50-false-unknown-false,lykon,2024-10-31,50.0,512.0,,,,
flux-unknown-unknown-1-unknown-unknown-false-unknown-false,replicateai,2024-09-27,,,0.7342857142857143,12.8,28.0,1024.0
flux-schnell-unknown-1-1024x1024-50-false-unknown-false,blackforestlabs,2024-07-03,50.0,1024.0,0.6357142857142857,1.1,4.0,1024.0
flux-schnell-unknown-1-2048x2048-50-false-unknown-false,blackforestlabs,2024-10-31,50.0,2048.0,0.6357142857142857,1.1,4.0,1024.0
flux-schnell-unknown-1-512x512-50-false-unknown-false,blackforestlabs,2024-07-03,50.0,512.0,0.6357142857142857,1.1,4.0,1024.0
flux-pro-unknown-1.1-1024x1024-unknown-false-unknown-false,blackforestlabs,2024-09-27,,1024.0,0.7642857142857142,5.25,50.0,1024.0
flux-dev-unknown-1-1024x1024-50-false-unknown-false,blackforestlabs,2024-07-03,50.0,1024.0,0.7014285714285714,5.6000000000000005,28.0,1024.0
flux-dev-unknown-1-512x512-50-false-unknown-false,blackforestlabs,2024-07-03,50.0,512.0,0.7014285714285714,5.6000000000000005,28.0,1024.0
flux-dev-unknown-1-768x768-50-false-unknown-false,blackforestlabs,2024-10-31,50.0,768.0,0.7014285714285714,5.6000000000000005,28.0,1024.0
flux-realism-unknown-1-1024x1024-100-false-unknown-true,blackforestlabs,2024-07-03,100.0,1024.0,0.7342857142857143,12.8,28.0,1024.0
flux-realism-unknown-1-512x512-100-false-unknown-true,blackforestlabs,2024-07-03,100.0,512.0,0.7342857142857143,12.8,28.0,1024.0
flux-realism-unknown-1-1024x1024-25-false-unknown-true,blackforestlabs,2024-07-03,25.0,1024.0,0.7342857142857143,12.8,28.0,1024.0
flux-realism-unknown-1-512x512-25-false-unknown-true,blackforestlabs,2024-07-03,25.0,512.0,0.7342857142857143,12.8,28.0,1024.0
