name,2024-06-01,2024-05-22,2024-04-19,2024-03-10,2024-07-03,2024-08-26,2024-09-27,2024-10-21
LLM Text translation,,,,,,,40.0,40.0
claude 3 haiku,0.25,0.25,0.25,,0.25,0.25,,0.25
claude 3 opus,15.0,15.0,15.0,,15.0,15.0,15.0,15.0
claude 3 sonnet,3.0,3.0,3.0,,3.0,3.0,3.0,3.0
claude 3.5 sonnet,,,,,,3.0,3.0,3.0
codestral,,,,,,1.0,0.2,1.0
codey for code chat,1.0,1.0,1.0,1.0,1.0,,,
codey for code chat 32k,1.0,1.0,1.0,1.0,1.0,,,
codey for code completion,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
codey for code generation,1.0,1.0,1.0,1.0,1.0,,,
codey for code generation 32k,1.0,1.0,1.0,1.0,1.0,,,
gemini 1.5 flash,1.0,1.0,,,1.0,1.0,0.15,0.15
gemini 1.5 flash (<128 k),,,,,,,0.075,0.075
gemini 1.5 flash 128k,0.5,0.5,,,0.5,0.5,,
gemini 1.5 pro,10.0,10.0,10.0,,10.0,10.0,10.0,10.0
gemini 1.5 pro (<128k),,,,,,,5.0,5.0
gemini 1.5 pro 128k,5.0,5.0,,,5.0,5.0,,
gemini pro,,,,0.5,,,,
jamba 1.5 large,,,,,,,2.0,
jamba 1.5 mini,,,,,,,0.2,
mistral large,,,,,,3.0,,
mistral large 2407,,,,,,,2.0,3.0
mistral nemo,,,,,,0.3,0.15,0.3
palm 2 for chat (chat bison),1.0,1.0,1.0,1.0,1.0,,,
palm 2 for chat 32k (chat bison 32k),1.0,1.0,1.0,1.0,1.0,,,
palm 2 for text (text bison),1.0,1.0,1.0,1.0,1.0,,,
palm 2 for text (text unicorn),1.0,1.0,10.0,10.0,1.0,,,
palm 2 for text 32k (text bison 32k),1.0,1.0,1.0,1.0,1.0,,,
