name,id_name,2024-06-10,2024-07-03,2024-08-26,2024-09-27,2024-10-21
ai21: jamba 1.5 large,jamba-large-unknown-1.5-unknown-unknown-unknown-unknown-false,,,,8.0,8.0
ai21: jamba 1.5 mini,jamba-mini-unknown-1.5-unknown-unknown-unknown-unknown-false,,,,0.4,0.4
ai21: jamba instruct,jamba-unknown-unknown-unknown-unknown-unknown-unknown-instruct-false,,0.7,,,0.7
airoboros 70b,airoboros-unknown-unknown-unknown-unknown-70-unknown-unknown-false,,,,,0.5
anthropic: claude 3 haiku,claude-haiku-unknown-3-unknown-unknown-unknown-false,,,,,1.25
anthropic: claude 3 haiku (self-moderated),claude-haiku-unknown-3-unknown-unknown-unknown-false,,,,,1.25
anthropic: claude 3 opus,claude-opus-unknown-3-unknown-unknown-unknown-false,,,,,75.0
anthropic: claude 3 opus (self-moderated),claude-opus-selfmoderated-3-unknown-unknown-unknown-false,,,,,75.0
anthropic: claude 3 sonnet,claude-sonnet-unknown-3-unknown-unknown-unknown-false,,,,,15.0
anthropic: claude 3 sonnet (self-moderated),claude-sonnet-unknown-3-unknown-unknown-unknown-false,,,,,15.0
anthropic: claude 3.5 sonnet,claude-sonnet-unknown-3.5-unknown-unknown-unknown-false,,15.0,,,
anthropic: claude 3.5 sonnet (self-moderated),claude-sonnet-unknown-3.5-unknown-unknown-unknown-false,,15.0,,,15.0
anthropic: claude instant v1.1,claude-instant-unknown-1.1-unknown-unknown-unknown-unknown-false,,,,,2.4
anthropic: claude v2,claude-unknown-unknown-2-unknown-unknown-unknown-unknown-false,,,,,24.0
anthropic: claude v2 (self-moderated),claude-unknown-moderated-2-unknown-unknown-unknown-unknown-false,,,,,24.0
anthropic: claude v2.1,claude-unknown-unknown-2.1-unknown-unknown-unknown-unknown-false,,,,,24.0
anthropic: claude v2.1 (self-moderated),claude-unknown-moderated-2.1-unknown-unknown-unknown-unknown-false,,,,,24.0
cohere: command r (03-2024),commandr-unknown-unknown-unknown-032024-unknown-unknown-unknown-false,,,,1.425,1.425
cohere: command r (08-2024),commandr-unknown-unknown-unknown-082024-unknown-unknown-unknown-false,,,,0.57,
cohere: command r+ (04-2024),commandr-plus-unknown-unknown-042024-unknown-unknown-unknown-false,,,,14.25,14.25
cohere: command r+ (08-2024),commandr-plus-unknown-unknown-082024-unknown-unknown-unknown-false,,,,9.5,4.95
deepseek coder,deepseek-coder-unknown-unknown-unknown-unknown-unknown-unknown-false,0.28,,0.28,,
deepseek-coder-v2,deepseek-unknown-unknown-2-unknown-unknown-unknown-unknown-false,,0.28,,,
deepseek-v2 chat,deepseek-unknown-unknown-2-unknown-unknown-unknown-chat-false,0.28,0.28,0.28,,
dolphin 2.6 mixtral 8x7b 🐬,dolphin-mixtral-unknown-2.6-unknown-8x7-unknown-unknown-false,,,,,0.5
dolphin 2.9.2 mixtral 8x22b,dolphin-mixtral-unknown-2.9.2-unknown-8x22-unknown-unknown-false,1.0,0.9,,,0.9
dolphin 2.9.2 mixtral 8x22b 🐬,dolphin-mixtral-unknown-2.9.2-unknown-8x22-unknown-unknown-false,,,0.9,,
eva qwen2.5 14b,eva-qwen-unknown-2.5-unknown-14-unknown-unknown-false,,,,,0.5
fimbulvetr 11b v2,fimbulvetr-unknown-unknown-2-unknown-11-unknown-unknown-false,1.5,,,1.5,
firellava 13b,firellava-unknown-unknown-unknown-unknown-13-unknown-unknown-false,0.2,,,,
flavor of the week,flavor-week-unknown-unknown-unknown-unknown-unknown-unknown-false,,0.0,,,
